transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	genesymbol	database
J1815153	18.7171294828835	6.63063431189533	0.49074185661601	13.5114505162	1.33857793835696e-41	7.89904147046473e-40	PCLO	CHICK
J1816887	67.5985090107241	7.13903790314585	0.475458856768768	15.0150487292696	5.85188524595703e-51	5.08468926686109e-49	BT1A1	HUMAN
J1820028	853.906010798079	6.09167031830338	0.459441010022625	13.2588736865335	4.00871188730536e-40	2.25694569777626e-38	RNL2	CHICK
J1820770	14.5330876579226	10.6132424778968	1.59843022414549	6.63979091334471	3.14128432220475e-11	3.42192226017073e-10	NTRK3	CHICK
J1833636	33.2897604510983	6.17983892312987	0.602571058146207	10.2557845080412	1.1146714352212e-24	3.17429659036541e-23	COMT	RAT
J1838307	26.9590208687014	6.70196375652496	0.424172255207263	15.8000993093011	3.10626849013553e-56	3.28016007546847e-54	CP27B	HUMAN
J1849010	11.3374495900991	6.11151339975877	0.404700400408022	15.1013277812354	1.58705071907012e-51	1.41234715201119e-49	MELT	HUMAN
J1850421	87.6710990536593	5.70686177819063	0.87084782426046	6.55322505173278	5.63075580004201e-11	5.98318635083905e-10	NGBR	HUMAN
J1853755	201.83199684469	5.32907134840517	0.44981982029466	11.847124355068	2.22702485828569e-32	9.08510880265528e-31	MAON	HUMAN
J1859608	9.68123105549074	-6.05555688891503	1.81646877966296	-3.33369720234808	0.00085699897172816	0.00280629838649338	RNF10	RAT
J1860897	20.8517329254677	6.57345591445927	1.47947463376887	4.44310146616965	8.86713228300416e-06	4.53738950813591e-05	MBD4	HUMAN
J1863235	33.1617560307962	18.1207926208816	2.43969987697471	7.42746794058614	1.10696200736506e-13	1.52026456145283e-12	RAB2A	CANLF
J1875004	63.7666170130686	9.74679484023789	0.701721471260396	13.8898341285342	7.3004185366502e-44	4.75280935409646e-42	VATB	DROME
J1881194	16.4129807696684	5.55273630425044	0.692738168098914	8.01563499740291	1.09569445577128e-15	1.75486042372076e-14	ST1C3	HUMAN
J1888548	7.58754045776108	-5.4170842763257	1.39697081684058	-3.87773617818094	0.000105432958049597	0.000429001730116999	PTSS1	CHICK
J1899309	6.04508739674045	6.96353312545458	0.736722933299288	9.45203795172982	3.32296884187824e-21	7.60766829255735e-20	ATS6	HUMAN
NODE_10213_length_3362_cov_17.778047_g5908_i0	9.43764077065497	7.84633187065686	0.556923426156543	14.0887086126116	4.45636278629774e-45	3.09282788344626e-43	SUSD2	MOUSE
NODE_10260_length_3352_cov_102.288747_g5944_i0	13.0880787183074	-5.02448124855519	1.18313497577283	-4.24675235830399	2.16891459538098e-05	0.00010267684495937	EPDR1	MACFA
NODE_11124_length_3169_cov_13.341040_g6437_i0	21.6736560575383	5.16514797641265	0.420748706692394	12.2760875892337	1.21744734461828e-34	5.5172613748923e-33	HNF1A	CHICK
NODE_11523_length_3095_cov_90.682237_g6645_i0	159.243779185552	5.95512694041288	0.465324982667351	12.7977803948473	1.68704536548535e-37	8.55933131408315e-36	SPB10	CHICK
NODE_11591_length_2566_cov_46.814131_g3149_i0	28.7733431218351	16.8986410170212	2.06817156584757	8.17081198488283	3.06320702712533e-16	5.10226257272875e-15	ST6B1	GORGO
NODE_1162_length_8242_cov_55.244656_g664_i0	25.7185760405977	5.80609553321762	0.837901580099732	6.92932877931384	4.22842054466539e-12	5.04439142814946e-11	S13A5	HUMAN
NODE_11784_length_3041_cov_107.317816_g6813_i0	12.7719351753475	7.49965833548996	0.867971852607653	8.64043956374701	5.59971560181465e-18	1.06082165950257e-16	CP4AP	PIG
NODE_12232_length_2955_cov_45.849310_g6931_i1	51.5089594449097	10.4237080072073	1.82761355630254	5.70345299270795	1.1740442614104e-08	9.45317652292139e-08	PAIP1	MOUSE
NODE_13300_length_2769_cov_34.182019_g7742_i0	83.3873711497871	5.07097507683468	0.323694293621867	15.6659390565547	2.58582008867141e-55	2.64208561837861e-53	OVOL2	MOUSE
NODE_13779_length_2687_cov_262.169073_g4833_i2	979.661999878495	5.85467001192153	0.356019292740994	16.4448110855072	9.13688297137097e-61	1.12654193954278e-58	THAP7	HUMAN
NODE_14312_length_2587_cov_90.762243_g8336_i0	48.0929288445724	6.02298097972127	2.0018783544937	3.008664820318	0.00262398428967583	0.00758895731531196	MAPK2	RABIT
NODE_14637_length_2529_cov_128.458771_g6611_i3	187.104615767077	8.09257661178106	0.749210675137696	10.8014699741081	3.38736523530773e-27	1.10427105972292e-25	CP2K6	DANRE
NODE_14743_length_2296_cov_14.561009_g4021_i1	36.2366271174985	7.68013479687892	2.08075888079276	3.69102584051105	0.00022335144316289	0.00084248271246026	PAR2	BOVIN
NODE_14798_length_2504_cov_5.351164_g8646_i0	4.95669008593083	6.0485846110618	0.720674169200261	8.39295325066801	4.74080149774657e-17	8.32374614600372e-16	PCSK5	HUMAN
NODE_14955_length_2478_cov_492.167974_g8439_i2	33.6440979551537	6.70352498398444	1.43586608030514	4.66862827664251	3.03217431701242e-06	1.69589678602291e-05	TIMP2	CHICK
NODE_15624_length_2370_cov_9.585313_g9146_i0	11.0525153338464	5.12842608556648	0.525392259695523	9.76113749475206	1.65290749695006e-22	4.05329649529866e-21	S6A13	HUMAN
