transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	genesymbol	database
J1812471	80.6986496123526	-6.16147356810634	0.707932402117414	-8.7034772665829	3.2186689228733e-18	4.07083227093488e-17	CCDB1	XENLA
J1820770	14.5330876579226	-15.8979398817101	1.71159765302464	-9.28836274904688	1.56679796397536e-20	2.39966905377767e-19	NTRK3	CHICK
J1824014	12.2312184734617	-6.29225418179511	1.16823035487262	-5.38614165909189	7.19862347306626e-08	3.37168124046206e-07	MBNL3	HUMAN
J1825555	286.960793732947	-6.32799729472652	0.750493020832139	-8.43178699744616	3.40426202980917e-17	4.04370629698e-16	IOD1	CHICK
J1825854	59.6447080263736	-5.03921376525166	0.782151308315699	-6.44276076978405	1.17319545845425e-10	7.63563071898712e-10	CP2W1	HUMAN
J1835890	131.875716420058	-8.59261684491153	1.40994684606257	-6.09428424121614	1.09928185380866e-09	6.4267948380284e-09	GHC1	MOUSE
J1838021	11.197495604387	6.16006604866004	1.62458089768447	3.79178781274607	0.000149566680539724	0.000424721646874899	RBM18	BOVIN
J1840840	87.1433571092678	7.70870213091022	2.20319789350834	3.49886959933272	0.000467235027919626	0.00120339328581937	COX20	MOUSE
J1846574	74.4594352105293	-5.8097666644378	0.756285144447474	-7.68197908830048	1.56649413093477e-14	1.48507411811556e-13	GYAR	THELN
J1850421	87.6710990536593	5.7948173977406	0.871041274627305	6.65274719641735	2.87672082374363e-11	2.00851719645751e-10	NGBR	HUMAN
J1854061	10.0559576283217	5.04115165825054	0.989669025117757	5.09377532316999	3.51002702797141e-07	1.50419993218115e-06	RCAN1	BOVIN
J1860897	20.8517329254677	5.53636569705936	1.48115447791833	3.73787189627942	0.000185584458332271	0.000517152650933488	MBD4	HUMAN
J1863235	33.1617560307962	-12.3125212284128	2.5178934015932	-4.89000893390561	1.00831401256572e-06	4.05230251429e-06	RAB2A	CANLF
J1876056	23.424684288818	7.78960079246694	1.74218477738767	4.47116798032589	7.779356250025e-06	2.72092539521477e-05	PLPL8	RABIT
J1898909	114.605211619205	-5.33096091330401	0.781464427185826	-6.82175762305857	8.99333110451804e-12	6.61168612514034e-11	HAOX2	BOVIN
J1901166	27.8500918928448	-5.61208724295515	0.640867698061975	-8.75701374858878	2.00491210418335e-18	2.57857867944793e-17	ANK3	HUMAN
NODE_100173_length_398_cov_6.544892_g44712_i0	33.5195928575943	9.66973507692686	0.911181338433466	10.6123058814521	2.61221465547687e-26	5.75365044374995e-25	MYSS	CYPCA
