GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	Animal
J1816887	67.5985090107241	6.54143065071753	0.476844350552103	13.7181674547338	7.90379021839572e-43	2.85493699050726e-41	BT1A1	HUMAN
J1820770	14.5330876579226	-16.9241617309953	1.71159765302464	-9.88793230762376	4.69627352212564e-23	7.27345660584652e-22	NTRK3	CHICK
J1825038	35.8200665902159	5.06592026500154	0.562048699908723	9.01331195290416	1.99925581494209e-19	2.49285739185152e-18	SIAT1	CHICK
J1833636	33.2897604510983	7.12900514711902	0.602739317569	11.8276756457038	2.80810263430144e-32	6.90912208907836e-31	COMT	RAT
J1834134	1322.48624724373	10.3038167865531	0.422100460603395	24.4108162588207	1.31282737167548e-131	3.96905480724355e-129	CP2H2	CHICK
J1835037	321.635371644813	-6.51467704915633	1.30471781518384	-4.99316938370951	5.93964216928042e-07	2.34672221045505e-06	NRN1	BOVIN
J1835890	131.875716420058	5.01221100758038	1.26433989699421	3.96429078881099	7.36144744103013e-05	0.000213575844647739	GHC1	MOUSE
J1839710	144.624667701984	9.6369698901263	0.438155772305157	21.9943921756999	3.25869202292178e-107	5.84710023950273e-105	UPP2	HUMAN
J1840840	87.1433571092678	-21.0343018096937	2.28976149765205	-9.18624137547186	4.0680765380906e-20	5.25043562547717e-19	COX20	MOUSE
J1841968	54.4453319957334	-6.29830696867844	0.722536661664952	-8.7169375657218	2.85827654658311e-18	3.32536443769579e-17	NRX3B	BOVIN
J1850421	87.6710990536593	7.04030191222846	0.870677077874993	8.08600810924215	6.16520835312161e-16	5.9861921844872e-15	NGBR	HUMAN
J1851452	17.0694862038171	-6.13783896087645	1.08820162279059	-5.64035086176085	1.69704002157405e-08	8.21712884513806e-08	GLT18	HUMAN
J1853755	201.83199684469	-8.77710461534589	0.769646332350532	-11.4040751529865	3.98995096606944e-30	8.93992059097996e-29	MAON	HUMAN
J1859802	668.794590395942	10.3552890159292	0.606791524869755	17.0656454342403	2.67417412259066e-65	1.92244374220117e-63	RL9	BOVIN
J1860897	20.8517329254677	5.76388859890106	1.48218616600125	3.88877506153716	0.000100751441069288	0.000284309462268149	MBD4	HUMAN
J1862702	9.72930621736941	5.07613364150175	0.484141706359204	10.4848096638375	1.01449724692558e-25	1.81295176029536e-24	AGRL1	BOVIN
J1863235	33.1617560307962	18.9049424984815	2.43979428922292	7.74858051844313	9.29254398091734e-15	8.27295061149034e-14	RAB2A	CANLF
J1867697	510.913335612109	-6.17304631966582	0.897593848224211	-6.877326902227	6.09860558392704e-12	4.2715399948356e-11	SMS	CHICK
J1872778	13.5113051835199	-5.31783698076749	1.39623786145082	-3.80868985692867	0.000139705056233269	0.000384546095169399	GFOD2	BOVIN
J1876056	23.424684288818	6.98629428060794	1.74346553962098	4.00713069564123	6.14608566933695e-05	0.000180353823590302	PLPL8	RABIT
J1880149	35.6644039048654	-5.3643321996877	0.735770080404842	-7.2907724064236	3.0818300280908e-13	2.40594229642603e-12	KCNG1	MOUSE
J1899857	12.0900382227504	5.12094647044408	0.480310154147898	10.6617493430448	1.53679245992038e-26	2.86703377772128e-25	ABCA5	RAT
NODE_10267_length_3350_cov_150.030956_g5638_i4	46.8319785472748	-23.3526496508063	2.76834466387888	-8.43560050723079	3.2950651449594e-17	3.54568931005626e-16	ARL4C	HUMAN
NODE_10275_length_3349_cov_85.189435_g5394_i1	22.3850646034314	-5.18656688483126	0.716683977442934	-7.23689526775314	4.59072372836751e-13	3.52530524304353e-12	GSDME	HUMAN
NODE_11124_length_3169_cov_13.341040_g6437_i0	21.6736560575383	5.60210926098569	0.422555362848948	13.2576929641011	4.07231806725331e-40	1.33943457144979e-38	HNF1A	CHICK
NODE_11128_length_3168_cov_53.909412_g370_i19	59.6754655081129	-5.62416049176394	0.972009727429122	-5.78611544005772	7.20327210255635e-09	3.66727140261635e-08	KRUP	MANSE
NODE_1146_length_8271_cov_78.771543_g653_i0	47.2115595150141	8.63889743008622	2.02587062950219	4.26428879726096	2.00539929252308e-05	6.34449002092664e-05	CO3	MOUSE
NODE_1152_length_8256_cov_38.026338_g657_i0	56.934122651439	-5.70256504257324	0.750053604517001	-7.60287665872284	2.89619499137898e-14	2.47748152944706e-13	AGRB1	MOUSE
NODE_115306_length_333_cov_1.143411_g59006_i0	144.142138959327	5.75892297661669	0.520991637240879	11.0537723928073	2.10192637004746e-28	4.35582300346924e-27	KI18A	HUMAN
NODE_11833_length_3033_cov_193.900940_g554_i3	447.577033997002	-6.07516738425646	0.792712305595027	-7.6637732773636	1.80548501982686e-14	1.571875912725e-13	GNAO	BOVIN
NODE_12232_length_2955_cov_45.849310_g6931_i1	51.5089594449097	13.918710130567	1.82612295242308	7.6220005405979	2.49773989994779e-14	2.14745304214443e-13	PAIP1	MOUSE
NODE_124_length_13529_cov_22.744248_g73_i0	82.771790384589	-6.11888560427727	1.3315545250941	-4.59529481441615	4.32137844787131e-06	1.50715585247345e-05	CAC1C	MOUSE
NODE_12477_length_2911_cov_31.019258_g7233_i0	17.9862048043326	5.00465823102708	0.397310969355279	12.596325339691	2.21212742432168e-36	6.29956803287476e-35	TMPS2	MOUSE
NODE_13118_length_2797_cov_32.506565_g7636_i0	193.083590114916	-6.24867099023628	1.38235521637862	-4.52030774449278	6.17498009788253e-06	2.10181694571665e-05	KLH40	XENLA
NODE_1367_length_5179_cov_144.641262_g365_i3	529.797148540546	-5.19037094601394	0.781688286407912	-6.63994975524735	3.13790099436515e-11	2.04831336721795e-10	STMN3	CHICK
NODE_13821_length_2677_cov_46.228452_g8046_i0	18.6718697438925	-5.01082496870423	0.748606750748522	-6.69353430715655	2.17843929403279e-11	1.44638462779304e-10	ACSL6	HUMAN
NODE_1406_length_5144_cov_72.526139_g376_i0	37.9812075757747	-6.56239927553361	0.860426505977021	-7.62691436159554	2.40439198235565e-14	2.07042259268783e-13	DPYL2	CHICK
NODE_141_length_13383_cov_67.046294_g81_i0	133.355655956718	-7.05340423720479	0.69233273524668	-10.1878820372283	2.24604044387394e-24	3.7553115603256e-23	DCX	HUMAN
NODE_14426_length_2562_cov_237.115277_g8418_i0	445.696622696545	5.19565248278278	0.262828122848525	19.7682516865867	5.58790462225609e-87	6.85139194517733e-85	CP4B1	MOUSE
NODE_14732_length_2513_cov_579.230269_g7989_i2	112.761877944041	-21.9741190101129	1.10893681917616	-19.8154832900558	2.18896395440666e-87	2.71406935245814e-85	AF1Q	HUMAN
NODE_14743_length_2296_cov_14.561009_g4021_i1	36.2366271174985	8.64696177762704	2.08080725597752	4.1555803656427	3.24462867326111e-05	9.92226060951541e-05	PAR2	BOVIN
NODE_14938_length_2482_cov_15.449114_g8040_i3	57.0041103729722	9.26768428121661	0.428314724651241	21.6375570295018	7.9610908670661e-104	1.32106222132443e-101	IYD	NEMVE
NODE_14955_length_2478_cov_492.167974_g8439_i2	33.6440979551537	6.47841817238198	1.43774458031761	4.50595902851592	6.60738366184439e-06	2.24139190619283e-05	TIMP2	CHICK
NODE_15149_length_2265_cov_202.863927_g4143_i1	60.1993207101397	5.20414902428538	0.39946235250271	13.0278835832222	8.49308666574087e-39	2.65499182312891e-37	SAHHA	XENLA
NODE_15672_length_2362_cov_957.387083_g9172_i0	549.418747367465	-5.55926532620356	0.673668894951592	-8.25222207506409	1.55476160968592e-16	1.58785695167831e-15	NSG2	HUMAN
NODE_15701_length_2225_cov_4.516744_g3676_i5	41.1647252277853	5.74323570573454	0.575469704064434	9.98008351294803	1.86309904510482e-23	2.95180157397439e-22	MOT6	HUMAN
NODE_15949_length_2320_cov_64.000000_g9345_i0	143.475310835965	5.63994084333557	0.284305194370131	19.8376285590936	1.40952476096998e-87	1.75752607201172e-85	MCLN2	HUMAN
NODE_16200_length_2285_cov_53.780717_g9505_i0	52.5803016584218	-5.23455833648549	0.523032913092748	-10.0080859262432	1.4044339644666e-23	2.24120445378003e-22	GP173	DANRE
NODE_16287_length_2274_cov_14.156377_g9565_i0	39.7586190958581	-5.82121701102557	0.739572869994656	-7.8710526672884	3.5166954160033e-15	3.24471019361174e-14	NCKX2	CHICK
NODE_16758_length_2216_cov_6.590005_g9834_i0	45.4502130116259	-5.5787476150607	0.769186794833777	-7.25278651756662	4.08283346653289e-13	3.14843237618382e-12	CBPZ	CHICK
NODE_17090_length_2125_cov_65.085366_g4725_i0	328.639915138903	-6.95353891720812	0.764031328145407	-9.10111753412911	8.94070649600834e-20	1.13795497328088e-18	NFL	COTJA
NODE_17610_length_2085_cov_101.117413_g4893_i0	521.106118094111	-7.18289042978999	1.10006116128614	-6.52953734080754	6.59731628922249e-11	4.15651642886499e-10	VIME	CHICK
NODE_17827_length_2076_cov_1814.443345_g10484_i0	107.307842083036	5.5128653973199	0.614432911983848	8.9722820665974	2.90433532644749e-19	3.5869435173305e-18	PCKGC	CHICK
NODE_17858_length_2069_cov_36.419759_g4967_i0	685.080310775264	-8.39674164907111	0.785862386857617	-10.6847481053861	1.19974301555959e-26	2.25924303356657e-25	NRN1	BOVIN
NODE_19263_length_1911_cov_31.211207_g11285_i0	113.590712103782	-5.56339670605819	0.752768966570082	-7.39057659537595	1.46193454443123e-13	1.17455025102284e-12	KCJ11	RAT
NODE_19774_length_1854_cov_11.646470_g11621_i0	21.8520066119977	7.82335248088764	0.434728680167981	17.9959428438553	2.09623998785343e-72	1.79317893534594e-70	ACM2	CHICK
NODE_19956_length_1836_cov_72.161145_g11730_i0	90.6278375867665	-6.11867878658304	0.750529759347389	-8.15247991219354	3.56536187800094e-16	3.5444836327694e-15	EPHX4	HUMAN
